city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 12e,38.8,3.0,2.0,5.0,2.0,True,445200.0,Nation - Picpus,small
Paris 16e,8.0,1.0,0.0,7.0,7.0,True,73200.0,Muette-Nord - Trocadéro,small
Paris 11e,13.0,1.0,0.0,6.0,1.0,True,199500.0,Bastille - Popincourt,small
Paris 15e,64.52,3.0,2.0,6.0,0.0,True,610000.0,Vaugirard - Parc des Expositions,medium
Paris 17e,211.5,8.0,5.0,7.0,3.0,True,2730000.0,Courcelles - Wagram,large
Paris 18e,63.0,3.0,2.0,6.0,5.0,True,550000.0,Porte de Clignancourt - Porte Montmartre - Moskowa,medium
Paris 19e,90.0,4.0,2.0,9.0,7.0,True,1290000.0,La Villette - Porte de Pantin,medium
Paris 15e,122.77,5.0,3.0,6.0,3.0,True,1570000.0,Cambronne - Garibaldi,large
Paris 17e,35.0,2.0,1.0,6.0,0.0,True,310000.0,Pereire,small
Paris 14e,89.29,5.0,4.0,5.0,0.0,True,1055000.0,Didot - Porte de Vanves,medium
Paris 7e,57.08,2.0,1.0,12.0,12.0,True,950000.0,Dupleix - Motte Picquet,small
Paris 7e,35.24,2.0,1.0,5.0,5.0,True,495000.0,Champ de Mars,small
Paris 17e,93.0,4.0,3.0,6.0,1.0,True,1080000.0,Champerret - Berthier,medium
Paris 18e,48.25,3.0,2.0,5.0,2.0,True,458000.0,Barbès - Château Rouge,small
Paris 17e,100.0,4.0,2.0,6.0,4.0,True,1040000.0,Ternes - Maillot,medium
Paris 13e,39.5,2.0,1.0,6.0,1.0,True,449000.0,Patay - Masséna,small
Paris 16e,21.47,2.0,1.0,6.0,6.0,True,255000.0,Dauphine,small
Paris 7e,122.77,5.0,3.0,6.0,3.0,True,1570000.0,Saint-Thomas d'Aquin - Bac - Musée d'Orsay,large
Paris 11e,72.0,3.0,2.0,6.0,4.0,True,858000.0,République - Saint-Ambroise,medium
Paris 12e,63.0,4.0,3.0,5.0,3.0,True,570000.0,Vallée de Fecamp,medium
Paris 17e,73.0,4.0,3.0,6.0,5.0,True,823000.0,Ternes - Maillot,medium
Paris 18e,44.0,2.0,1.0,6.0,1.0,False,398000.0,Barbès - Château Rouge,small
Paris 20e,25.61,1.0,0.0,9.0,6.0,True,198000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 10e,41.0,2.0,1.0,5.0,0.0,True,399000.0,Saint-Vincent de Paul - Lariboisière,small
Paris 4e,18.19,1.0,0.0,6.0,4.0,True,265000.0,Saint-Gervais,small
Paris 9e,56.0,3.0,2.0,5.0,2.0,True,750000.0,Grands Boulevards,small
Paris 19e,79.0,3.0,2.0,6.0,2.0,True,900000.0,Secrétan - Jaurès,medium
Paris 12e,93.1,4.0,3.0,6.0,1.0,True,945000.0,Bel-Air - Sud,medium
Paris 17e,86.0,5.0,3.0,6.0,5.0,True,1050000.0,Ternes - Maillot,medium
Paris 19e,62.0,3.0,2.0,9.0,6.0,True,550000.0,Porte de la Villette,medium
Paris 11e,114.34,5.0,3.0,7.0,3.0,True,1270000.0,Nation - Alexandre Dumas,large
Paris 20e,51.0,3.0,1.0,6.0,5.0,True,525000.0,Gambetta,small
Paris 16e,150.66,7.0,4.0,9.0,8.0,True,2149000.0,Porte de Saint-Cloud - Auteuil-Sud,large
Paris 11e,108.0,3.0,2.0,4.0,1.0,True,1320000.0,Bastille - Popincourt,large
Paris 16e,51.5,3.0,1.0,6.0,4.0,True,550000.0,Porte de Saint-Cloud - Auteuil-Sud,small
Paris 9e,75.0,3.0,2.0,6.0,3.0,True,990000.0,Saint-Vincent de Paul - Lariboisière,medium
Paris 13e,22.0,1.0,0.0,6.0,24.0,False,262080.0,Olympiades - Choisy,small
Paris 9e,186.7,6.0,3.0,6.0,3.0,True,2295000.0,Clichy - Trinité,large
Paris 19e,90.0,4.0,3.0,5.0,1.0,True,670000.0,Flandre - Aubervilliers,medium
Paris 17e,63.0,3.0,2.0,5.0,2.0,True,799000.0,Batignolles - Cardinet,medium
Paris 15e,41.0,2.0,1.0,6.0,5.0,True,499000.0,Saint-Lambert - Convention,small
Paris 11e,52.18,2.0,1.0,5.0,1.0,True,689000.0,Bastille - Popincourt,small
Paris 11e,110.0,5.0,3.0,9.0,9.0,True,1730000.0,Léon-Blum - Folie-Regnault,large
Paris 10e,74.0,3.0,2.0,6.0,1.0,True,805000.0,Canal Saint-Martin - Jemmapes,medium
Paris 14e,33.0,2.0,1.0,5.0,5.0,True,400000.0,Pernety,small
Paris 18e,101.0,5.0,3.0,10.0,7.0,True,1125000.0,Grandes Carrières - Clichy,large
Paris 13e,133.0,5.0,4.0,6.0,1.0,False,1150000.0,Croulebarbe,large
