city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 12e,64.0,3.0,2.0,2.0,2.0,True,650000.0,Vallée de Fecamp,medium
Paris 16e,44.0,3.0,2.0,6.0,5.0,True,450000.0,Passy - Maison de la Radio - Muette-Sud,small
Paris 18e,23.0,1.0,1.0,4.0,2.0,True,245000.0,Jules Joffrin,small
Paris 10e,111.0,6.0,4.0,5.0,4.0,True,1140000.0,Château d'Eau - Lancry,large
Paris 4e,42.0,2.0,1.0,6.0,6.0,True,995000.0,Les Iles,small
Paris 14e,48.0,2.0,1.0,6.0,1.0,True,450000.0,Didot - Porte de Vanves,small
Paris 15e,110.0,5.0,3.0,5.0,5.0,True,1150000.0,Vaugirard - Parc des Expositions,large
Paris 5e,162.0,6.0,4.0,5.0,5.0,True,1760000.0,Jardin des Plantes,large
Paris 9e,78.0,3.0,2.0,3.0,2.0,True,965000.0,Opéra,medium
Paris 13e,37.0,2.0,1.0,5.0,5.0,True,400000.0,Butte-aux-Cailles,small
Paris 15e,81.0,4.0,2.0,6.0,11.0,True,997000.0,Alleray - Procession,medium
Paris 14e,47.0,3.0,2.0,6.0,2.0,True,510000.0,Pernety,small
Paris 11e,46.0,2.0,1.0,6.0,2.0,True,530000.0,Bastille - Popincourt,small
Paris 11e,34.0,1.0,0.0,8.0,6.0,True,331000.0,Bastille - Popincourt,small
Paris 20e,49.0,2.0,1.0,9.0,1.0,True,460000.0,Gambetta,small
Paris 14e,89.0,4.0,3.0,8.0,4.0,True,869000.0,Jean Moulin - Porte d'Orléans,medium
Paris 16e,234.0,8.0,6.0,6.0,1.0,True,2450000.0,Dauphine,large
Paris 20e,89.0,4.0,2.0,9.0,2.0,True,688275.0,Télégraphe - Pelleport - Saint-Fargeau,medium
Paris 14e,70.0,3.0,2.0,13.0,11.0,True,579000.0,Didot - Porte de Vanves,medium
Paris 17e,62.0,3.0,2.0,6.0,4.0,True,550000.0,Champerret - Berthier,medium
Paris 18e,67.0,4.0,2.0,3.0,3.0,True,594000.0,La Chapelle - Marx Dormoy,medium
Paris 15e,42.0,2.0,1.0,6.0,0.0,True,439000.0,Alleray - Procession,small
Paris 20e,54.0,3.0,1.0,7.0,1.0,True,495000.0,Ménilmontant - Amandiers,small
Paris 15e,100.0,4.0,3.0,6.0,7.0,True,950000.0,Alleray - Procession,medium
Paris 15e,75.0,3.0,1.0,7.0,3.0,True,590000.0,Georges Brassens,medium
Paris 9e,85.0,4.0,2.0,6.0,1.0,True,920000.0,Trudaine - Rochechouart,medium
Paris 11e,296.0,3.0,7.0,1.0,0.0,True,2690000.0,République - Saint-Ambroise,large
Paris 11e,94.0,4.0,3.0,9.0,6.0,True,920000.0,Nation - Alexandre Dumas,medium
Paris 15e,75.0,3.0,2.0,6.0,1.0,True,749000.0,Alleray - Procession,medium
Paris 15e,51.0,2.0,1.0,6.0,2.0,True,525000.0,Alleray - Procession,small
Paris 15e,93.0,4.0,2.0,6.0,4.0,True,960000.0,Emeriau - Zola,medium
Paris 9e,133.0,5.0,3.0,5.0,1.0,True,1540000.0,Trudaine - Rochechouart,large
Paris 18e,64.0,3.0,2.0,7.0,1.0,True,505000.0,Porte de Clignancourt - Porte Montmartre - Moskowa,medium
Paris 10e,97.0,4.0,2.0,6.0,2.0,True,970000.0,Louis Blanc - Aqueduc,medium
Paris 5e,41.66,4.0,3.0,6.0,6.0,True,470000.0,Val de Grâce,small
Paris 9e,94.0,4.0,3.0,4.0,0.0,True,1100000.0,Clichy - Trinité,medium
Paris 15e,151.0,5.0,3.0,6.0,1.0,True,1698000.0,Saint-Lambert - Convention,large
Paris 15e,109.0,4.0,3.0,7.0,1.0,True,1185000.0,Alleray - Procession,large
Paris 14e,96.0,4.0,3.0,6.0,6.0,True,1140000.0,Jean Moulin - Porte d'Orléans,medium
Paris 9e,83.0,4.0,2.0,6.0,2.0,True,840000.0,Clichy - Trinité,medium
Paris 8e,128.0,5.0,3.0,5.0,4.0,True,1620000.0,Saint-Philippe du Roule,large
